name,address,lat,lng,cuisine,price,osm_type,osm_id
韓式料理,,24.151221,120.6370954,,,node,3104863454
奇化家,,24.148501,120.636904,korean,,node,3104863455
甘泉魚麵,,24.1482481,120.6381726,,,node,3104873937
陳師傅牛肉麵,,24.1481999,120.6382051,beef_noodle,,node,3104873938
雞肉飯,黎明路二段,24.1498416,120.6356378,,,node,3104873939
凱恩斯岩燒餐廳,公益路二段,24.1513056,120.6344408,,,node,4630735391
御饌臻品,40873臺中市南屯區黎明路二段468-1號,24.1526421,120.6350977,chinese;taiwanese,,node,4638951791
台中尚鮮海鮮快炒,河南路四段,24.1539985,120.6370202,seafood,,node,4639836292
必勝客,40873臺中市南屯區黎明路二段482號,24.1529524,120.6350768,pizza,,node,4834750225
正忠排骨飯,40874臺中市南屯區向上路二段432-7號,24.14715,120.6372617,chinese,,node,5404961161
初一素蔬食餐廳,臺中市南屯區向上路三段,24.1462875,120.635288,,,node,5540078490
有喜屋,,24.1514661,120.6336543,,,node,5541205010
Kama-釜かま,,24.1506658,120.631808,,,node,5645870181
炎香閣,,24.1506927,120.6320225,,,node,5645870182
五花肉.KR mini,,24.1506931,120.6325178,,,node,5645870183
五花馬水餃館,,24.1513321,120.6348361,,,node,5645870187
大禾飯糰蔬食館,,24.1510412,120.6353332,,,node,5645870190
田園健康素食館,,24.1509336,120.6353738,,,node,5645870191
嘉義熊霸生炒鴨肉羹,,24.150839,120.6353962,,,node,5645870192
滬舍餘味餐館,,24.1512023,120.6358056,,,node,5645870193
呷飯店,,24.1512243,120.6360684,,,node,5645870194
川爺鍋燒意麵,,24.1513263,120.63683,,,node,5645870195
,,24.1499687,120.6404552,,,node,6304966705
永和四海豆漿大王,黎明路二段,24.1502828,120.6355937,breakfast,,node,6414349786
米盒子,黎明路二段,24.1503937,120.6354797,,,node,6758963285
鬍鬚張魯肉飯,,24.1513191,120.6347916,,,node,6768127439
明炙道炭火燒肉,,24.1540984,120.636996,,,node,7041823440
向上清粥小菜,永春東七路,24.1460867,120.6342093,,,node,11115468982
紅品碳烤牛排,公益路二段,24.1511237,120.6330497,steak_house,,node,11351456337
235巷pasta台中公益店,公益路二段,24.1511087,120.6329641,italian,,node,11351456338
刁民酸菜魚,,24.1507099,120.6331444,,,node,11740848939
史堤克先生牛排,40873臺中市南屯區黎明路二段495號,24.1528444,120.6346526,steak_house,,way,361582601
凱恩斯岩燒,,24.1514789,120.6345769,steak_house,,way,730666480
